code,model,chassis,year
A-00002,MONTANA,9BGCA80X0DB218346,2012
A-00003,MONTANA LS,9BGCA80X0DB228572,2012
A-00004,MONTANA LS,9BGCA80X0DB218757,2012
A-00005,MONTANA LS,9BGCA80X0DB218341,2012
A-00006,MONTANA LS,9BGCA80X0DB218774,2012
A-00008,MONTANA LS,9BGCA80X0DB243340,2013
A-00009,CELTA 1.0 LT,9BGRP48F0EG256183,2013
A-00012,CELTA 1.0L LT,9BGRP48F0EG256462,2013
A-00014,MONTANA LS,9BGCA80X0EB222543,2013
A-00016,MONTANA LS,9BGCA80X0EB216146,2013
A-00017,MONTANA LS,9BGCA80X0EB216477,2013
A-00021,FIORINO FLEX,9BD25504998851387,2008
A-00037,MONTANA LS,9BGCA80X0FB110655,2014
A-00038,CELTA 1.0 LT,9BGRP48F0FG177512,2014
A-00039,FIORINO 1.4 FLEX,9BD265122F9018414,2014
A-00040,CELTA 1.0 LT,9BGRP4820FG356175,2015
A-00043,ONIX 1.4 MT LT,9BGKS48V0KG239199,2018
A-00044,ONIX 1.0 MT JOYE,9BGKL48U0KB172140,2018
A-00046,FIORINO HD WK E,9BD2651JHL9134219,2019
A-00047,FIORINO HD WK E,9BD2651JHL9135307,2019
A-00049,GOL 1.0L,9BWAG45U6LT047884,2019
A-00051,ONIX 1.0 MT JOYE,9BGKL4BU0KB140562,2018
A-00053,ONIX 1.0 MT JOYE,9BGKL48U0KB153686,2018
A-00054,SAVEIRO RB MBVS,9BWKB45U0MP005823,2020
A-00057,GOL 1.6,9BWAL45U6NT030786,2021
A-00058,MONTANA LS2,9BGCA8030MB222505,2021
A-00060,FIORINO  ENDURANCE,9BD2651MHM9190991,2021
A-00061,EXPERT CARGO,9V8VBYHVENA807060,2022
A-00063,ONIX 1.0 MT LT,9BGEB48A0PG249166,2022
A-00064,MOBI LIKE,9BD341ACZPY864124,2023
A-00065,MOBI LIKE,9BD341ACZPY866220,2023
A-00066,MOBI LIKE,9BD341ACZPY873011,2023
A-00067,MOBI LIKE,9BD341ACZPY878361,2023
A-00068,MOBI LIKE,9BD341ACZPY878935,2023
A-00069,MOBI LIKE,9BD341ACZPY879019,2023
A-00070,FIORINO  ENDURANCE,9BD2651PAR9236928,2023
A-00071,SAVEIRO CS RB MPI,9BWKL45U4PP051995,2023
A-00072,SAVEIRO CS RB MPI,9BWKL45UXPP051998,2023
A-00073,SAVEIRO CS RB MPI,9BWKL45U2PP052000,2023
A-00074,SAVEIRO CS RB MPI,9BWKL45U4PP052001,2023
A-00075,SAVEIRO CS RB MPI,9BWKL45U8PP052003,2023
A-00076,POLO MB,9BWAH5BZXPT613442,2023
A-00077,POLO MB,9BWAH5BZ1PT615192,2023
A-00078,ONIX,9BGEB48H0RG175855,2023
A-00079,SAVEIRO CS RB MF,9BWKL45U9SP015079,2024
A-00081,MONTANA LS2,9BGCA8030MB225852,2021
A-00082,SAVEIRO CS RB MF,9BWKL45U1SP051848,2024
A-00083,SAVEIRO CS RB MF,9BWKL45U9SP052049,2024
A-00084,SAVEIRO CS RB MF,9BWKL45U6TP013419,2025
A-00085,EXPERT CARGO,9V8VBYHVERA003502,2023
A-00086,MOBI LIKE,9BD341ACWSYA52727,2025
A-00087,MOBI LIKE,9BD341AGWTYA76390,2025
A-00088,SAVEIRO CS RB MF,9BWKL45U1TP025204,2025
A-00089,SAVEIRO CS RB MF,9BWKL45U1TP025266,2025
A-00090,SAVEIRO CS RB MF,9BWKL45U1TP025302,2025
A-00091,SAVEIRO CS RB MF,9BWKL45U1TP025347,2025
A-00092,SAVEIRO CS RB MF,9BWKL45U1TP025364,2025
A-00093,SAVEIRO CS RB MF,9BWKL45U1TP025378,2025
A-00094,HILUX CSLSTA4SD,8AJDA8CB1S8100573,2025
A-00096,FIORINO HD WK E,9BD2651PFT9329261,2026
A-00097,FIORINO HD WK E,9BD2651PFT9333676,2026
A-00098,SAVEIRO CS RB MF,9BWKL45U6VP003427,2026
A-00099,POLO MB,9BWAH5BZ2TT664024,2026
A-00100,MOBI LIKE,9BD341AGWVYD25543,2026
C-00010,ATEGO 1729,9BM958154GB029767,2015
C-00011,ATEGO 1729,9BM958154GB031291,2016
C-00012,ATEGO 1729,9BM958154GB031279,2016
C-00014,ATEGO 1729,9BM958154GB028826,2015
C-00015,ATEGO 1729,9BM958154GB015199,2015
C-00017,CARGO 1319,9BFXEB1B2EBS72370,2014
C-00018,CARGO 1319,9BFXEB1B9EBS72348,2014
C-00019,CARGO 1319,9BFXEB1B4EBS72368,2014
C-00020,CARGO 1319,9BFXEB1B8EBS65164,2014
C-00021,CARGO 1319,9BFXEB1B0EBS72349,2014
C-00022,ATEGO 1729,9BM958154GB021090,2015
C-00023,CARGO 1319,9BFXEB1B7EBS72350,2014
C-00024,AXOR 3131 6X4,9BM958260EB983384,2014
C-00025,ATEGO 2426,9BM958164GB029291,2015
C-00026,CARGO 1723 K,9BFYEAHD2EBS68180,2014
